1,KOD,ILOSC,nr z odkupu,NAZWA_TOWARU,KOD,ILOSC,IND_IC,NAZWA,CENA DO ODKUPU PLN ZA 1 SZT.
Filtr powietrza Filtron AP 184,5904608001849,1,,Filtr kabinowy B45007PR,IC-AA00E6,1,B45007PR,Filtr kabiny,"10,64"
Filtr powietrza Filtron AR 215,5904608002150,1,,Filtr kabinowy B4W005PR K1004,IC-A9FCEA,1,K 1004,Filtr kabiny,"10,63"
Filtr powietrza B2S001PR AP 189,IC-A9EAE2,1,,Filtr oleju Filtron OP 525/3,5904608035257,1,OP 525/3,Filtr oleju,"10,62"
Filtr powietrza Filtron AR 257/3,5904608032577,1,,Zestaw naprawczy zacisku D4-576,8430320045795,2,D4-576,Zestaw naprawczy zacisku hamulcowego,"10,51"
Filtr powietrza B2R009PR AR275,IC-A9EADF,1,,Filtr oleju Filtron OE 685/4,5904608056856,1,OE 685/4,Filtr oleju,"10,5"
Filtr powietrza B2F039PR AR 234/2,IC-AEF6E9,2,,Filtr powietrza B2F072PR Ap 092/8,IC-C3E2AB,2,AP 092/8,Filtr powietrza,"10,48"
Filtr powietrza B2D000PR,IC-BA175C,1,,Filtr oleju Filtron OE 649/5,5904608066497,1,OE 649/5,Filtr oleju,"10,42"
Filtr powietrza B2F073PR,,1,,Filtr powietrza B2W019PR AR201,IC-A9FD53,1,AR 201,Filtr powietrza,"10,35"
Filtr powietrza Filtron AR 327/2,5904608033277,1,,Filtr kabinowy Filtron K1323,5904608803238,1,K 1323,Filtr kabiny,"10,34"
Filtr powietrza Filtron AR 255,5904608002556,1,,Filtr powietrza B2F073PR,,1,B2F073PR,Filtr powietrza,"10,31"
Filtr powietrza Filtron AR 232/1,5904608012326,1,,Zestaw naprawczy zacisku D4-468,8430320039848,1,D4-468,Zestaw naprawczy zacisku hamulcowego,"10,31"
Filtr powietrza Filtron AR 316/1,5904608023162,1,,Filtr powietrza B24065PR AP 106/3,IC-AA0DB5,1,AP 106/3,Filtr powietrza,"10,26"
Filtr powietrza B2W062PR,IC-C57EFA,1,,Filtr oleju Filtron OP 643/5,5904608066435,2,OP 643/5,Filtr oleju,"10,2"
Filtr powietrza FILTRON AK 317,5904608003171,1,,Filtr powietrza Filtron AP 130/3,5904608041302,2,AP 130/3,Filtr powietrza,"10,19"
Filtr powietrza Filtron AK 362,5904608003621,1,,Filtr powietrza B2X058PR Ap 072/1,IC-B46EFE,1,AP 072/1,Filtr powietrza,"10,13"
Filtr powietrza B2R021PR AR349,IC-AA0F21,1,,Filtr oleju filtron op 629/2,5904608036292,1,OP 629/2,Filtr oleju,"10,12"
Filtr powietrza B28013PR AK337,IC-A90098,1,,Filtr powietrza B2W016PR,IC-AA0DD1,1,B2W016PR,Filtr powietrza,"10,11"
Filtr powietrza B2M036PR AR 327/1,IC-A9C540,1,,Filtr paliwa FILTRON PS 921,5904608009210,1,PS 921,Filtr paliwa,"10,05"
Filtr powietrza Filtron AP 362/3,,1,,Filtr oleju Filtron OP 525/2,5904608025258,1,OP 525/2,Filtr oleju,"10,02"
Filtr powietrza B2G064PR AP 074/4,IC-BA7B4F,1,,Filtr powietrza B2P025PR AP 080/4,IC-AEF656,1,AP 080/4,Filtr powietrza,"9,99"
Filtr powietrza FILTRON AP057,5904608000576,1,,Filtr oleju OM 522/2,5904608025227,1,OM 522/2,Filtr oleju,"9,96"
Filtr powietrza FILTRON AP 042,5904608000422,1,,Filtr kabinowy B4X001PR K1002,IC-A9BFA8,2,K 1002,Filtr kabiny,"9,87"
Filtr powietrza FILTRON AP040,5904608000408,1,,LIN14.20.04,5907668206414,1,LIN14.20.04,Linka gazu,"9,85"
Filtr powietrza FILTRON AP 085/2,5904608030580,1,3,Filtr oleju Filtron OE 649/1,5904608016492,1,OE 649/1,Filtr oleju,"9,83"
